shipment_id,order_id,warehouse_city,customer_city,shipment_date,delivery_date,shipment_status,transport_cost,weight_kg,distance_km,fuel_cost,driver_id,vehicle_type
100000,500000,Pune,Mumbai,2025-01-26,2025-01-30,Delayed,4257,33,621,1902,1095,Truck
100001,500001,Chennai,Ahmedabad,2025-02-02,2025-02-06,Delivered,3808,34,2119,5606,1026,Container
100002,500002,Mumbai,Jaipur,2025-10-12,2025-10-13,Delayed,12648,102,703,3391,1036,Mini Truck
100003,500003,Mumbai,Chennai,2025-04-15,2025-04-17,Delivered,5600,50,1458,5766,1006,Container
100004,500004,Chennai,Mumbai,2026-01-23,2026-01-28,Delivered,12654,111,2624,19338,1047,Mini Truck
100005,500005,Pune,Mumbai,2025-02-16,2025-02-21,Delivered,705,15,1003,4604,1059,Van
100006,500006,Mumbai,Chennai,2025-12-30,2026-01-04,Delivered,4136,94,2704,15818,1022,Mini Truck
100007,500007,Mumbai,Jaipur,2026-01-24,2026-02-02,Delivered,4389,33,1378,9326,1030,Truck
100008,500008,Bangalore,Ahmedabad,2025-10-02,2025-10-12,Delivered,7254,117,1338,8168,1051,Container
100009,500009,Mumbai,Hyderabad,2025-05-23,2025-06-01,Delivered,9490,73,1126,6435,1075,Container
100010,500010,Bangalore,Bangalore,2025-05-22,2025-05-24,Delivered,4949,101,242,808,1021,Container
100011,500011,Chennai,Mumbai,2026-01-30,2026-02-07,Delivered,7560,72,1079,7805,1002,Truck
100012,500012,Pune,Lucknow,2025-10-01,2025-10-07,Delayed,1710,19,1252,4219,1001,Van
100013,500013,Chennai,Pune,2026-06-04,,In Transit,8468,116,2611,18614,1065,Mini Truck
100014,500014,Mumbai,Chennai,2025-06-15,2025-06-24,Delivered,380,5,2503,12983,1015,Van
100015,500015,Bangalore,Bangalore,2025-03-01,2025-03-11,Delivered,1920,15,400,2069,1009,Mini Truck
100016,500016,Mumbai,Jaipur,2025-06-19,2025-06-29,Delivered,6136,59,917,6101,1089,Mini Truck
100017,500017,Pune,Hyderabad,2026-02-13,,Cancelled,8008,88,1579,11760,1058,Truck
100018,500018,Mumbai,Bangalore,2025-03-07,2025-03-17,Delivered,8250,75,992,3681,1010,Truck
100019,500019,Mumbai,Mumbai,2025-02-02,,In Transit,910,14,2155,8688,1063,Mini Truck
100020,500020,Chennai,Pune,2026-04-30,2026-05-08,Delivered,6372,108,1717,5183,1085,Container
100021,500021,Bangalore,Ahmedabad,2026-02-25,2026-02-26,Delivered,10647,91,2726,8290,1052,Van
100022,500022,Delhi,Bangalore,2025-07-16,2025-07-24,Delivered,1276,22,1778,7168,1032,Truck
100023,500023,Hyderabad,Lucknow,2025-04-11,2025-04-20,Delivered,5152,112,110,835,1031,Mini Truck
100024,500024,Hyderabad,Jaipur,2026-05-08,2026-05-15,Delivered,6720,120,290,1329,1050,Van
100025,500025,Hyderabad,Hyderabad,2026-03-10,2026-03-19,Delivered,4806,89,2043,7241,1028,Truck
100026,500026,Chennai,Lucknow,2025-03-04,2025-03-05,Delayed,1056,11,2442,12858,1068,Mini Truck
100027,500027,Delhi,Lucknow,2025-03-24,,In Transit,559,13,2487,15453,1031,Container
100028,500028,Delhi,Kolkata,2025-09-10,2025-09-11,Delivered,7392,84,385,2354,1073,Van
